module,type,name,res_id,src,value
xpr_report,report,xpr_report.report_saleorder,0,30 days,30 jours
xpr_report,report,xpr_report.report_saleorder,0,Date Ordered,Date de commande
xpr_report,report,xpr_report.report_saleorder,0,Dealercode,Code du concessionnaire
xpr_report,report,xpr_report.report_saleorder,0,Description,Description
xpr_report,report,xpr_report.report_saleorder,0,Disc. ($),Rabais ($)
xpr_report,report,xpr_report.report_saleorder,0,Discount ($),Rabais ($)
xpr_report,report,xpr_report.report_saleorder,0,Fax,Téléc.
xpr_report,report,xpr_report.report_saleorder,0,Invoice address,Adresse de facturation
xpr_report,report,xpr_report.report_saleorder,0,Monthly Total,Total mensuel
xpr_report,report,xpr_report.report_saleorder,0,One Time Total,Total frais initiaux
xpr_report,report,xpr_report.report_saleorder,0,Payment Term,Condition de règlement
xpr_report,report,xpr_report.report_saleorder,0,Price,Prix
xpr_report,report,xpr_report.report_saleorder,0,Product,Produit
xpr_report,report,xpr_report.report_saleorder,0,Quantity,Quantité
xpr_report,report,xpr_report.report_saleorder,0,Quotation (for approval) Nº,Nº de soumission (en attente d'approbation)
xpr_report,report,xpr_report.report_saleorder,0,Quotation (cancelled) Nº,Nº de soumission (annulé)
xpr_report,model,"ir.actions.report.xml,name",xpr_report.report_sale_order,Quotation / Order,Soumission / Commande
xpr_report,report,xpr_report.report_saleorder,0,Quotation Date,Date de la soumission
xpr_report,report,xpr_report.report_saleorder,0,Sales taxes applicable in the dealership's province will be included in the invoice.,Les taxes de ventes applicables à la province du concessionnaire seront incluses à la facturation.
xpr_report,report,xpr_report.report_saleorder,0,Salesperson,Vendeur
xpr_report,report,xpr_report.report_saleorder,0,Shipping address,Adresse de livraison
xpr_report,report,xpr_report.report_saleorder,0,Solution,Solution
xpr_report,report,xpr_report.report_saleorder,0,Starting Date,Date de début
xpr_report,report,xpr_report.report_saleorder,0,Tel.,Tél.
xpr_report,report,xpr_report.report_saleorder,0,Unit Price,Prix unitaire
xpr_report,report,xpr_report.report_saleorder,0,VAT,TVA
xpr_report,report,xpr_report.report_saleorder,0,Your Reference,Votre référence
xpr_report,model,"ir.model,name",xpr_report.model_res_company,Companies,Sociétés
xpr_report,report,xpr_report.report_saleorder,0,Total,Total
xpr_report,report,xpr_report.report_saleorder,0,Live Date,Date de mise en ligne
